Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2016-12-09,@ CHI,0,0,0,0,0,0,0,0,0,0,0,3,17:30,22,2016,201617,0,17:30,17:30,1050,CHI,CHI
2016-12-11,vs NJD,1,0,1,1,0,0,0,1,1,0,0,1,14:11,19,2016,201617,1,14:11,14:11,851,NJD,NJD
2016-12-13,vs CHI,0,0,0,-2,0,0,0,0,0,0,0,1,18:12,23,2016,201617,1,18:12,18:12,1092,CHI,CHI
2016-12-15,@ DAL,0,0,0,0,0,0,0,0,0,0,0,1,16:30,22,2016,201617,0,16:30,16:30,990,DAL,DAL
2016-12-17,@ NSH,0,0,0,-1,0,0,0,0,0,0,0,1,17:22,23,2016,201617,0,17:22,17:22,1042,NSH,NSH
2016-12-18,vs NJD,0,0,0,0,0,0,0,0,0,0,0,2,21:07,26,2016,201617,1,21:07,21:07,1267,NJD,NJD
2016-12-20,@ PIT,0,0,0,-1,0,0,0,0,0,0,0,0,16:35,23,2016,201617,0,16:35,16:35,995,PIT,PIT
2016-12-23,vs MIN,0,0,0,-4,0,0,0,0,0,0,0,1,15:36,19,2016,201617,1,15:36,15:36,936,MIN,MIN
2016-12-27,vs OTT,0,0,0,1,0,0,0,0,0,0,0,3,15:06,30,2016,201617,1,15:06,15:06,906,OTT,OTT
2016-12-29,@ ARI,1,1,2,0,0,0,0,0,0,0,0,1,13:38,22,2016,201617,0,13:38,13:38,818,ARI,ARI
2016-12-31,@ COL,2,0,2,2,0,0,0,0,0,1,0,3,16:40,25,2016,201617,0,16:40,16:40,1000,COL,COL
2017-01-03,vs BUF,0,1,1,1,0,0,0,0,0,0,0,0,13:45,24,2017,201617,1,13:45,13:45,825,BUF,BUF
2017-01-04,@ PHI,0,2,2,2,0,0,0,0,0,0,0,0,16:50,29,2017,201617,0,16:50,16:50,1010,PHI,PHI
2017-01-07,@ CBJ,0,1,1,1,0,0,0,0,0,0,0,0,17:14,26,2017,201617,0,17:14,17:14,1034,CBJ,CBJ
2017-01-13,vs TOR,1,0,1,1,0,0,0,0,0,0,0,4,17:02,22,2017,201617,1,17:02,17:02,1022,TOR,TOR
2017-01-14,@ MTL,1,0,1,1,5,0,0,1,1,0,0,2,13:44,22,2017,201617,0,13:44,13:44,824,MTL,MTL
2017-01-17,vs DAL,0,0,0,-1,0,0,0,0,0,0,0,0,17:08,26,2017,201617,1,17:08,17:08,1028,DAL,DAL
2017-01-19,@ TOR,1,0,1,1,0,0,0,0,0,1,0,4,17:22,27,2017,201617,0,17:22,17:22,1042,TOR,TOR
2017-01-22,@ DET,1,0,1,1,0,0,0,0,0,1,0,1,17:41,26,2017,201617,0,17:41,17:41,1061,DET,DET
2017-01-23,vs LAK,0,1,1,1,0,0,0,0,0,0,0,1,17:41,24,2017,201617,1,17:41,17:41,1061,LAK,LAK
2017-01-25,vs PHI,0,0,0,-1,0,0,0,0,0,0,0,0,17:20,23,2017,201617,1,17:20,17:20,1040,PHI,PHI
2017-01-31,vs CBJ,0,1,1,-2,0,0,0,0,0,0,0,2,15:54,23,2017,201617,1,15:54,15:54,954,CBJ,CBJ
2017-02-02,@ BUF,0,2,2,1,0,0,0,0,0,0,0,4,17:38,27,2017,201617,0,17:38,17:38,1058,BUF,BUF
2017-02-05,vs CGY,0,2,2,1,0,0,0,0,0,0,0,4,14:35,24,2017,201617,1,14:35,14:35,875,CGY,CGY
2017-02-07,vs ANA,0,2,2,2,0,0,0,0,0,0,0,0,19:45,25,2017,201617,1,19:45,19:45,1185,ANA,ANA
2017-02-09,vs NSH,2,0,2,3,0,0,0,0,0,1,0,3,15:37,26,2017,201617,1,15:37,15:37,937,NSH,NSH
2017-02-11,vs COL,0,1,1,1,0,0,0,0,0,0,0,4,18:20,23,2017,201617,1,18:20,18:20,1100,COL,COL
2017-02-13,@ CBJ,0,1,1,0,2,0,0,0,0,0,0,0,19:23,25,2017,201617,0,19:23,19:23,1163,CBJ,CBJ
2017-02-16,@ NYI,0,0,0,-1,0,0,0,0,0,0,0,2,17:49,22,2017,201617,0,17:49,17:49,1069,NYI,NYI
2017-02-19,vs WSH,0,0,0,0,0,0,0,0,0,0,0,0,18:37,24,2017,201617,1,18:37,18:37,1117,WSH,WSH
2017-02-21,vs MTL,0,0,0,0,0,0,0,0,0,0,0,2,20:17,27,2017,201617,1,20:17,20:17,1217,MTL,MTL
2017-02-23,@ TOR,1,0,1,1,2,0,0,0,0,0,0,1,17:00,27,2017,201617,0,17:00,17:00,1020,TOR,TOR
2017-02-25,@ NJD,0,0,0,0,0,0,0,0,0,0,0,2,14:18,20,2017,201617,0,14:18,14:18,858,NJD,NJD
2017-02-26,vs CBJ,0,0,0,0,0,0,0,0,0,0,0,1,16:05,21,2017,201617,1,16:05,16:05,965,CBJ,CBJ
2017-02-28,vs WSH,0,1,1,1,0,0,0,0,0,0,0,1,15:40,22,2017,201617,1,15:40,15:40,940,WSH,WSH
2017-03-02,@ BOS,0,0,0,-1,0,0,0,0,0,0,0,0,18:29,25,2017,201617,0,18:29,18:29,1109,BOS,BOS
2017-03-04,vs MTL,0,0,0,-1,0,0,0,0,0,0,0,1,15:45,22,2017,201617,1,15:45,15:45,945,MTL,MTL
2017-03-06,@ TBL,0,0,0,0,0,0,0,0,0,0,0,0,18:48,25,2017,201617,0,18:48,18:48,1128,TBL,TBL
2017-03-07,@ FLA,0,1,1,1,0,0,0,0,0,0,0,1,14:05,23,2017,201617,0,14:05,14:05,845,FLA,FLA
2017-03-09,@ CAR,0,0,0,-1,0,0,0,0,0,0,0,1,18:08,26,2017,201617,0,18:08,18:08,1088,CAR,CAR
2017-03-12,@ DET,0,1,1,1,0,0,0,0,0,0,0,0,14:01,19,2017,201617,0,14:01,14:01,841,DET,DET
2017-03-13,vs TBL,0,0,0,0,0,0,0,0,0,0,0,0,15:12,22,2017,201617,1,15:12,15:12,912,TBL,TBL
2017-03-17,vs FLA,1,0,1,0,2,0,0,0,0,0,0,3,17:54,24,2017,201617,1,17:54,17:54,1074,FLA,FLA
2017-03-18,@ MIN,0,1,1,1,0,0,0,0,0,0,0,1,13:56,19,2017,201617,0,13:56,13:56,836,MIN,MIN
2017-03-21,@ NJD,0,0,0,0,0,0,0,0,0,0,0,3,19:24,28,2017,201617,0,19:24,19:24,1164,NJD,NJD
2017-03-22,vs NYI,0,0,0,0,0,0,0,0,0,0,0,1,18:41,23,2017,201617,1,18:41,18:41,1121,NYI,NYI
2017-03-25,@ LAK,0,0,0,0,0,0,0,0,0,0,0,1,14:44,21,2017,201617,0,14:44,14:44,884,LAK,LAK
2017-03-26,@ ANA,0,0,0,-2,0,0,0,0,0,0,0,0,13:19,21,2017,201617,0,13:19,13:19,799,ANA,ANA
2017-03-28,@ SJS,2,0,2,-2,0,1,1,0,0,0,0,4,18:26,28,2017,201617,0,18:26,18:26,1106,SJS,SJS
2017-03-31,vs PIT,0,2,2,2,0,0,0,0,0,0,0,3,17:28,26,2017,201617,1,17:28,17:28,1048,PIT,PIT
2017-04-02,vs PHI,0,0,0,0,0,0,0,0,0,0,0,1,14:46,21,2017,201617,1,14:46,14:46,886,PHI,PHI
