Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
16,2021-11-27,16,23-028,COL,,NSH,W,0,3,3,1,0,0,0,0,0,1,2,0,1,0.0,29,23:32,1,2,0,0,
17,2021-12-01,17,23-032,COL,@,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,24,24:41,1,0,0,0,
18,2021-12-02,18,23-033,COL,@,MTL,W,1,0,1,2,0,1,0,0,1,0,0,0,2,50.0,27,22:49,0,0,0,0,
19,2021-12-06,19,23-037,COL,@,PHI,W,1,0,1,1,0,0,1,0,0,0,0,0,5,20.0,26,25:42,2,0,0,0,
20,2021-12-08,20,23-039,COL,@,NYR,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,28,22:46,0,3,0,0,
21,2021-12-10,21,23-041,COL,,DET,W,1,1,2,3,2,1,0,0,0,1,0,0,3,33.3,25,22:58,1,3,0,0,
22,2021-12-12,22,23-043,COL,,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,33,24:12,0,2,0,0,
23,2021-12-14,23,23-045,COL,,NYR,W,1,0,1,-1,0,0,1,0,0,0,0,0,1,100.0,29,27:33,0,2,0,0,
24,2022-01-02,24,23-064,COL,,ANA,W,0,1,1,2,0,0,0,0,0,0,1,0,3,0.0,29,24:43,1,0,0,0,
25,2022-01-04,25,23-066,COL,@,CHI,W,1,0,1,2,0,1,0,0,1,0,0,0,4,25.0,32,28:32,1,1,0,0,
26,2022-01-06,26,23-068,COL,,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,21:22,2,5,0,0,
27,2022-01-08,27,23-070,COL,,TOR,W,1,1,2,3,0,1,0,0,0,1,0,0,4,25.0,28,26:44,0,0,0,0,
28,2022-01-10,28,23-072,COL,,SEA,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,27,23:23,2,1,0,0,
29,2022-01-11,29,23-073,COL,@,NSH,L-OT,1,2,3,2,0,1,0,0,0,1,1,0,5,20.0,26,25:46,0,1,0,0,
30,2022-01-14,30,23-076,COL,,ARI,W,0,1,1,2,0,0,0,0,0,1,0,0,4,0.0,29,27:07,1,2,0,0,
31,2022-01-15,31,23-077,COL,@,ARI,W,0,1,1,1,0,0,0,0,0,0,1,0,2,0.0,26,23:40,3,0,0,0,
32,2022-01-17,32,23-079,COL,,MIN,W,0,1,1,0,0,0,0,0,0,0,1,0,6,0.0,33,28:10,0,2,0,0,
33,2022-01-19,33,23-081,COL,@,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,30,24:58,1,1,0,0,
34,2022-01-20,34,23-082,COL,@,LAK,W,0,1,1,2,0,0,0,0,0,0,1,0,3,0.0,30,26:27,2,2,0,0,
35,2022-01-22,35,23-084,COL,,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,26:02,4,3,0,0,
36,2022-01-24,36,23-086,COL,,CHI,W,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0,25,26:56,1,0,0,0,
37,2022-01-26,37,23-088,COL,,BOS,W,1,1,2,2,0,0,1,0,1,1,0,0,4,25.0,35,31:49,1,0,0,0,
38,2022-01-28,38,23-090,COL,@,CHI,W,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,26,27:32,3,2,0,0,
