,Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
172,29-Dec,vs CHI,0,0,0,-2,0,0,0,0,0,0,0,5,22:24,24,2017,1718,1,0:22:24,0:22:24,1344,CHI,OTHER
173,27-Dec,@ WPG,0,2,2,1,0,0,0,0,1,0,0,1,21:02,23,2017,1718,0,0:21:02,0:21:02,1262,WPG,WPG
174,23-Dec,vs MTL,1,1,2,1,0,0,1,0,0,1,0,2,19:01,22,2017,1718,1,0:19:01,0:19:01,1141,MTL,MTL
175,21-Dec,vs STL,1,0,1,1,0,0,0,0,0,0,0,3,19:27,25,2017,1718,1,0:19:27,0:19:27,1167,STL,OTHER
176,18-Dec,vs SJS,0,0,0,2,0,0,0,0,0,0,0,1,23:09,23,2017,1718,1,0:23:09,0:23:09,1389,SJS,OTHER
177,16-Dec,@ MIN,0,1,1,1,0,0,0,0,0,0,0,3,20:54,26,2017,1718,0,0:20:54,0:20:54,1254,MIN,OTHER
178,14-Dec,vs NSH,0,0,0,-1,2,0,0,0,0,0,0,5,20:53,23,2017,1718,1,0:20:53,0:20:53,1253,NSH,OTHER
179,12-Dec,@ CBJ,1,3,4,3,0,0,1,0,0,0,0,5,18:24,21,2017,1718,0,0:18:24,0:18:24,1104,CBJ,OTHER
180,10-Dec,@ TOR,0,0,0,0,0,0,0,0,0,0,0,4,23:37,21,2017,1718,0,0:23:37,0:23:37,1417,TOR,OTHER
181,09-Dec,@ MTL,0,2,2,1,0,0,1,0,0,0,0,3,17:59,21,2017,1718,0,0:17:59,0:17:59,1079,MTL,MTL
182,06-Dec,vs PHI,0,1,1,0,0,0,0,0,1,0,0,1,21:52,23,2017,1718,1,0:21:52,0:21:52,1312,PHI,OTHER
183,02-Dec,@ CGY,0,1,1,2,0,0,0,0,0,0,0,2,20:00,27,2017,1718,0,0:20:00,0:20:00,1200,CGY,CGY
184,30-Nov,vs TOR,1,0,1,-1,0,0,0,0,0,0,0,3,20:02,25,2017,1718,1,0:20:02,0:20:02,1202,TOR,OTHER
185,28-Nov,vs ARI,0,0,0,0,0,0,0,0,0,0,0,2,23:42,27,2017,1718,1,0:23:42,0:23:42,1422,ARI,OTHER
186,26-Nov,@ BOS,0,2,2,2,0,0,0,0,0,0,0,0,19:40,22,2017,1718,0,0:19:40,0:19:40,1180,BOS,OTHER
187,24-Nov,@ BUF,0,0,0,-2,0,0,0,0,0,0,0,3,22:13,25,2017,1718,0,0:22:13,0:22:13,1333,BUF,OTHER
188,22-Nov,@ DET,0,2,2,2,0,0,0,0,0,0,0,1,18:18,25,2017,1718,0,0:18:18,0:18:18,1098,DET,OTHER
189,21-Nov,@ STL,0,1,1,-2,0,0,0,0,0,0,0,1,16:05,22,2017,1718,0,0:16:05,0:16:05,965,STL,OTHER
190,18-Nov,@ DAL,1,2,3,-3,2,1,1,0,1,0,0,3,18:18,24,2017,1718,0,0:18:18,0:18:18,1098,DAL,OTHER
191,16-Nov,vs STL,0,0,0,-2,0,0,0,0,0,0,0,3,20:21,26,2017,1718,1,0:20:21,0:20:21,1221,STL,OTHER
192,14-Nov,vs VGK,2,1,3,3,0,1,1,0,0,0,0,2,17:19,21,2017,1718,1,0:17:19,0:17:19,1039,VGK,OTHER
193,12-Nov,@ WSH,0,0,0,0,0,0,0,0,0,0,0,3,27:24:00,30,2017,1718,0,0:27:24,0:27:24,1644,WSH,OTHER
194,11-Nov,@ NYR,1,0,1,-2,0,1,1,0,0,0,0,1,24:18:00,27,2017,1718,0,0:24:18,0:24:18,1458,NYR,OTHER
195,09-Nov,@ NJD,0,1,1,1,0,0,0,0,0,0,0,1,23:44,30,2017,1718,0,0:23:44,0:23:44,1424,NJD,OTHER
196,07-Nov,@ NYI,1,0,1,1,0,0,0,0,0,1,1,2,24:28:00,26,2017,1718,0,0:24:28,0:24:28,1468,NYI,OTHER
197,05-Nov,vs DET,0,0,0,-1,0,0,0,0,0,0,0,2,15:55,19,2017,1718,1,0:15:55,0:15:55,955,DET,OTHER
198,03-Nov,vs NJD,0,3,3,1,0,0,1,0,0,0,0,3,19:57,26,2017,1718,1,0:19:57,0:19:57,1197,NJD,OTHER
199,01-Nov,vs PIT,0,2,2,0,0,0,1,0,0,0,0,2,22:52,25,2017,1718,1,0:22:52,0:22:52,1372,PIT,OTHER
200,28-Oct,vs WSH,0,1,1,0,0,0,0,0,0,0,0,4,21:33,22,2017,1718,1,0:21:33,0:21:33,1293,WSH,OTHER
201,26-Oct,vs DAL,1,0,1,3,2,0,0,0,0,0,0,2,22:57,26,2017,1718,1,0:22:57,0:22:57,1377,DAL,OTHER
202,24-Oct,@ PIT,1,0,1,1,0,0,0,0,0,0,0,5,21:57,24,2017,1718,0,0:21:57,0:21:57,1317,PIT,OTHER
203,21-Oct,@ PHI,0,0,0,1,2,0,0,0,0,0,0,4,22:03,22,2017,1718,0,0:22:03,0:22:03,1323,PHI,OTHER
204,19-Oct,@ CHI,0,2,2,0,0,0,1,0,0,0,0,3,24:36:00,26,2017,1718,0,0:24:36,0:24:36,1476,CHI,OTHER
205,17-Oct,vs CAR,0,1,1,-1,0,0,1,0,0,0,0,3,26:31:00,28,2017,1718,1,0:26:31,0:26:31,1591,CAR,OTHER
206,14-Oct,vs OTT,0,1,1,-1,0,0,0,0,0,0,0,5,21:09,25,2017,1718,1,0:21:09,0:21:09,1269,OTT,OTHER
207,09-Oct,vs WPG,0,1,1,-2,0,0,0,0,0,0,0,5,21:16,25,2017,1718,1,0:21:16,0:21:16,1276,WPG,WPG
208,07-Oct,@ VAN,0,0,0,-1,2,0,0,0,0,0,0,2,24:38:00,24,2017,1718,0,0:24:38,0:24:38,1478,VAN,VAN
209,04-Oct,vs CGY,3,0,3,3,0,0,0,0,0,1,0,7,19:32,25,2017,1718,1,0:19:32,0:19:32,1172,CGY,CGY
210,06-Apr,@ CGY,0,0,0,0,0,0,0,0,0,0,0,4,9:40,12,2019,1819,0,0:09:40,0:09:40,580,CGY,CGY
211,04-Apr,vs SJS,0,1,1,0,0,0,0,0,0,0,0,2,25:05:00,26,2019,1819,1,0:25:05,0:25:05,1505,SJS,OTHER
212,02-Apr,@ COL,0,0,0,-2,0,0,0,0,0,0,0,2,20:31,24,2019,1819,0,0:20:31,0:20:31,1231,COL,OTHER
213,01-Apr,@ VGK,1,0,1,-2,0,0,0,0,0,0,0,3,22:50,27,2019,1819,0,0:22:50,0:22:50,1370,VGK,OTHER
214,30-Mar,vs ANA,0,0,0,-3,0,0,0,0,0,0,0,2,22:08,26,2019,1819,1,0:22:08,0:22:08,1328,ANA,OTHER
215,28-Mar,vs DAL,1,1,2,2,0,0,0,0,0,0,0,5,24:22:00,30,2019,1819,1,0:24:22,0:24:22,1462,DAL,OTHER
216,26-Mar,vs LAK,1,3,4,2,0,0,1,0,0,0,0,2,20:10,26,2019,1819,1,0:20:10,0:20:10,1210,LAK,OTHER
217,23-Mar,vs OTT,1,0,1,-1,0,0,0,0,0,0,0,4,23:54,29,2019,1819,1,0:23:54,0:23:54,1434,OTT,OTHER
218,21-Mar,vs CBJ,1,1,2,1,0,0,0,0,0,0,0,1,22:33,24,2019,1819,1,0:22:33,0:22:33,1353,CBJ,OTHER
219,19-Mar,@ STL,0,0,0,-1,0,0,0,0,0,0,0,1,22:50,28,2019,1819,0,0:22:50,0:22:50,1370,STL,OTHER
