Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2022-01-13,@ NYI,0,0,0,-1,0,0,0,0,0,0,0,5,20:36,25,2022,202122,0,20:36,20:36,1236,NYI,NYI
2022-01-19,vs ARI,0,1,1,-1,0,0,0,0,0,0,0,3,21:04,24,2022,202122,1,21:04,21:04,1264,ARI,ARI
2022-01-22,vs CAR,1,0,1,-2,0,1,1,0,0,0,0,5,15:32,20,2022,202122,1,15:32,15:32,932,CAR,CAR
2022-01-23,vs LAK,0,1,1,-2,0,0,0,0,0,0,0,3,18:09,20,2022,202122,1,18:09,18:09,1089,LAK,LAK
2022-01-25,vs DAL,0,1,1,-1,0,0,0,0,0,0,0,7,19:54,21,2022,202122,1,19:54,19:54,1194,DAL,DAL
2022-01-27,@ TBL,1,0,1,-1,0,0,0,0,0,0,0,5,20:48,23,2022,202122,0,20:48,20:48,1248,TBL,TBL
2022-01-29,@ CAR,0,0,0,0,0,0,0,0,0,0,0,1,19:52,24,2022,202122,0,19:52,19:52,1192,CAR,CAR
2022-01-31,@ TOR,0,1,1,-1,0,0,0,0,0,0,0,4,20:22,22,2022,202122,0,20:22,20:22,1222,TOR,TOR
2022-02-01,vs TOR,1,0,1,0,0,0,0,0,0,0,0,3,18:51,20,2022,202122,1,18:51,18:51,1131,TOR,TOR
2022-02-13,vs PIT,1,0,1,-1,0,0,0,0,0,0,0,5,19:46,21,2022,202122,1,19:46,19:46,1186,PIT,PIT
2022-02-15,vs TBL,1,1,2,0,0,0,0,0,0,0,0,4,20:35,23,2022,202122,1,20:35,20:35,1235,TBL,TBL
2022-02-24,@ PIT,0,3,3,2,0,0,0,0,0,0,0,2,16:43,20,2022,202122,0,16:43,16:43,1003,PIT,PIT
2022-02-25,@ CHI,1,2,3,0,0,0,0,0,0,0,0,5,19:23,22,2022,202122,0,19:23,19:23,1163,CHI,CHI
2022-02-28,vs VAN,1,1,2,1,0,0,0,0,0,0,0,2,17:08,19,2022,202122,1,17:08,17:08,1028,VAN,VAN
2022-03-01,@ CBJ,1,0,1,-1,0,1,1,0,0,0,0,5,22:56,27,2022,202122,0,22:56,22:56,1376,CBJ,CBJ
2022-03-04,@ NYR,0,0,0,-1,0,0,0,0,0,0,0,1,20:47,24,2022,202122,0,20:47,20:47,1247,NYR,NYR
2022-03-06,vs STL,0,2,2,1,0,0,0,0,0,0,0,2,22:44,24,2022,202122,1,22:44,22:44,1364,STL,STL
2022-03-08,vs COL,0,2,2,1,0,0,0,0,0,0,0,6,20:48,24,2022,202122,1,20:48,20:48,1248,COL,COL
2022-03-10,vs WPG,1,0,1,0,0,1,1,0,0,0,0,5,21:45,21,2022,202122,1,21:45,21:45,1305,WPG,WPG
2022-03-12,vs ANA,0,0,0,-1,0,0,0,0,0,0,0,6,23:02,25,2022,202122,1,23:02,23:02,1382,ANA,ANA
2022-03-15,@ VAN,1,1,2,0,0,0,0,0,0,0,0,5,20:46,25,2022,202122,0,20:46,20:46,1246,VAN,VAN
2022-03-16,@ CGY,0,1,1,-3,0,0,0,0,0,0,0,3,20:17,25,2022,202122,0,20:17,20:17,1217,CGY,CGY
2022-03-19,@ EDM,0,0,0,-3,0,0,0,0,0,0,0,3,20:53,23,2022,202122,0,20:53,20:53,1253,EDM,EDM
2022-03-22,vs NYR,2,0,2,1,0,1,1,0,0,0,0,4,20:15,22,2022,202122,1,20:15,20:15,1215,NYR,NYR
2022-03-23,@ TOR,0,1,1,0,0,0,0,0,0,0,0,5,22:05,23,2022,202122,0,22:05,22:05,1325,TOR,TOR
2022-03-26,@ WSH,1,1,2,1,0,0,0,0,0,0,0,3,23:33,23,2022,202122,0,23:33,23:33,1413,WSH,WSH
2022-03-27,vs MTL,2,0,2,1,0,1,1,0,0,0,0,7,24:50,23,2022,202122,1,24:50,24:50,1490,MTL,MTL
2022-03-31,@ BOS,1,0,1,-1,0,0,0,0,0,0,0,1,17:40,21,2022,202122,0,17:40,17:40,1060,BOS,BOS
2022-04-02,vs FLA,1,0,1,0,0,0,0,0,0,0,0,1,21:22,22,2022,202122,1,21:22,21:22,1282,FLA,FLA
2022-04-03,vs NYI,0,0,0,-1,0,0,0,0,0,0,0,1,10:14,12,2022,202122,1,10:14,10:14,614,NYI,NYI
2021-01-14,vs BOS,0,2,2,2,0,0,0,0,0,0,0,3,21:50,27,2021,202021,1,21:50,21:50,1310,BOS,BOS
2021-01-16,vs BOS,0,1,1,0,0,0,0,0,0,0,0,2,22:38,30,2021,202021,1,22:38,22:38,1358,BOS,BOS
2021-01-19,@ NYR,2,1,3,1,0,0,0,0,0,0,0,2,15:22,22,2021,202021,0,15:22,15:22,922,NYR,NYR
2021-01-21,@ NYI,0,0,0,0,0,0,0,0,0,0,0,0,17:16,25,2021,202021,0,17:16,17:16,1036,NYI,NYI
2021-01-24,vs NYI,1,0,1,0,0,1,1,0,0,1,0,1,16:25,23,2021,202021,1,16:25,16:25,985,NYI,NYI
