Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
46,2023-01-23,46,25-043,FLA,@,NYR,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,21,21:24,0,0,0,1,0.0
47,2023-01-24,47,25-044,FLA,@,PIT,L-OT,1,1,2,3,2,0,1,0,0,0,0,1,5,20.0,25,23:28,2,1,0,0,
48,2023-01-27,48,25-047,FLA,,LAK,L,0,2,2,0,0,0,0,0,0,2,0,0,7,0.0,25,25:36,1,1,0,0,
49,2023-01-28,49,25-048,FLA,,BOS,W,0,2,2,1,0,0,0,0,0,2,0,0,5,0.0,29,21:20,2,1,0,0,
50,2023-02-06,50,25-057,FLA,,TBL,W,2,3,5,5,0,1,1,0,0,3,0,0,6,33.3,21,15:59,0,0,0,0,
51,2023-02-09,51,25-060,FLA,,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,19:27,0,2,0,0,
52,2023-02-11,52,25-062,FLA,,COL,L,0,2,2,1,0,0,0,0,0,2,0,0,7,0.0,22,23:53,1,0,0,0,
53,2023-02-13,53,25-064,FLA,@,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,24:46,1,0,0,0,
54,2023-02-14,54,25-065,FLA,@,STL,L,0,2,2,-1,0,0,0,0,0,2,0,0,3,0.0,19,20:19,1,0,0,0,
55,2023-02-16,55,25-067,FLA,@,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,19:46,1,0,1,0,100.0
56,2023-02-18,56,25-069,FLA,@,NSH,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,22,19:14,1,0,0,0,
57,2023-02-20,57,25-071,FLA,,ANA,W,0,2,2,1,0,0,0,0,0,2,0,0,6,0.0,22,22:39,1,0,1,0,100.0
58,2023-02-24,58,25-075,FLA,,BUF,L,0,0,0,-2,6,0,0,0,0,0,0,0,6,0.0,22,23:53,0,0,1,0,100.0
59,2023-02-28,59,25-079,FLA,@,TBL,W,0,1,1,2,0,0,0,0,0,1,0,0,6,0.0,24,20:18,1,1,0,0,
60,2023-03-02,60,25-081,FLA,,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,24:30,1,0,0,0,
61,2023-03-04,61,25-083,FLA,,PIT,W,0,2,2,2,10,0,0,0,0,2,0,0,4,0.0,19,17:43,0,0,0,0,
62,2023-03-07,62,25-086,FLA,,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,19:53,2,3,0,0,
63,2023-03-10,63,25-089,FLA,,CHI,W,0,3,3,1,0,0,0,0,0,2,1,0,7,0.0,22,22:52,1,0,0,0,
64,2023-03-11,64,25-090,FLA,,WPG,L-OT,2,1,3,-1,2,0,2,0,0,0,1,0,9,22.2,26,22:16,0,1,0,0,
65,2023-03-16,65,25-095,FLA,,MTL,W,1,3,4,4,0,1,0,0,0,2,1,0,3,33.3,21,17:56,0,0,0,0,
66,2023-03-18,66,25-097,FLA,,NJD,W,1,0,1,1,0,1,0,0,1,0,0,0,5,20.0,26,20:15,2,0,1,0,100.0
67,2023-03-20,67,25-099,FLA,@,DET,W,1,2,3,1,0,1,0,0,0,1,1,0,2,50.0,21,16:12,0,0,0,0,
