Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
77,2023-04-06,77,30-023,VAN,,CHI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,23,17:41,3,1,10,7,58.8
78,2023-04-08,78,30-025,VAN,,CGY,W,0,1,1,0,0,0,0,0,0,0,0,1,4,0.0,33,21:51,6,0,20,5,80.0
79,2023-04-10,79,30-027,VAN,@,LAK,L,0,0,0,-1,5,0,0,0,0,0,0,0,3,0.0,21,18:05,3,1,7,7,50.0
80,2023-04-11,80,30-028,VAN,@,ANA,W,1,1,2,1,0,1,0,0,1,0,1,0,3,33.3,26,20:13,3,1,7,5,58.3
81,2023-04-13,81,30-030,VAN,@,ARI,W,1,1,2,0,0,0,1,0,0,1,0,0,2,50.0,25,19:08,1,0,2,4,33.3
1,2021-10-13,1,28-213,VAN,@,EDM,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,29,22:30,3,0,0,2,0.0
2,2021-10-15,2,28-215,VAN,@,PHI,W,1,2,3,0,0,1,0,0,0,0,2,0,2,50.0,31,23:55,3,2,4,9,30.8
3,2021-10-16,3,28-216,VAN,@,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,28,22:54,0,0,6,5,54.5
4,2021-10-19,4,28-219,VAN,@,BUF,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,25,19:14,2,1,7,10,41.2
5,2021-10-21,5,28-221,VAN,@,CHI,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,30,22:49,4,1,9,6,60.0
6,2021-10-23,6,28-223,VAN,@,SEA,W,0,2,2,0,0,0,0,0,0,1,1,0,0,,26,19:25,1,0,10,6,62.5
7,2021-10-26,7,28-226,VAN,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,21:47,4,0,10,6,62.5
8,2021-10-28,8,28-228,VAN,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,28,22:54,5,1,7,3,70.0
9,2021-10-30,9,28-230,VAN,,EDM,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,23:53,4,0,0,1,0.0
10,2021-11-02,10,28-233,VAN,,NYR,W,2,0,2,2,2,2,0,0,1,0,0,0,7,28.6,28,23:55,2,0,4,2,66.7
